variable,target,cohens_d
Xwords,gender,0.0131
Xunique,gender,0.0788
Xtwice,gender,0.1812
Xav_length,gender,-0.0002
Xmax_length,gender,0.0584
Xnumbers,gender,0.0
Xlength_6,gender,-0.034
Xlength_3,gender,0.0215
Xstop,gender,0.1347
Xcharacter,gender,-0.0153
Xcapital,gender,0.0549
Xpunctuation,gender,-0.0727
Xsentence,gender,-0.0401
Xsentence_par,gender,-0.0401
Xword_par,gender,0.0131
Xchar_par,gender,-0.0153
Xdet,gender,0.144
Xprep,gender,0.107
Xsing,gender,0.0076
Xplural,gender,-0.035
Xadv,gender,0.0061
Xnouns,gender,0.0258
Xpronouns,gender,-0.0065
Xconj,gender,0.0458
Xpast,gender,0.0745
Xfuture,gender,0.0
Xmentions,gender,-0.1391
Xhashtag,gender,-0.0725
Xurl,gender,0.077
Xemoji,gender,0.0483
XWE-GloVe_1,gender,-0.1372
XWE-GloVe_2,gender,-0.04
XWE-GloVe_3,gender,-0.1295
XWE-GloVe_4,gender,0.0632
XWE-GloVe_5,gender,-0.0941
XWE-GloVe_6,gender,-0.1327
XWE-GloVe_7,gender,0.1419
XWE-GloVe_8,gender,0.0624
XWE-GloVe_9,gender,0.0473
XWE-GloVe_10,gender,-0.1329
XWE-GloVe_11,gender,0.0698
XWE-GloVe_12,gender,-0.101
XWE-GloVe_13,gender,0.0245
XWE-GloVe_14,gender,0.1286
XWE-GloVe_15,gender,-0.0166
XWE-GloVe_16,gender,0.0345
XWE-GloVe_17,gender,0.0348
XWE-GloVe_18,gender,-0.0465
XWE-GloVe_19,gender,-0.0065
XWE-GloVe_20,gender,-0.0242
XWE-GloVe_21,gender,0.1053
XWE-GloVe_22,gender,0.0687
XWE-GloVe_23,gender,-0.0436
XWE-GloVe_24,gender,0.0909
XWE-GloVe_25,gender,0.0156
XWE-GloVe_26,gender,0.022
XWE-GloVe_27,gender,-0.0134
XWE-GloVe_28,gender,0.0471
XWE-GloVe_29,gender,-0.0548
XWE-GloVe_30,gender,0.0876
XWE-GloVe_31,gender,-0.0284
XWE-GloVe_32,gender,-0.039
XWE-GloVe_33,gender,-0.0684
XWE-GloVe_34,gender,0.0053
XWE-GloVe_35,gender,0.1223
XWE-GloVe_36,gender,-0.0974
XWE-GloVe_37,gender,-0.1064
XWE-GloVe_38,gender,0.0337
XWE-GloVe_39,gender,-0.0561
XWE-GloVe_40,gender,0.0865
XWE-GloVe_41,gender,-0.0516
XWE-GloVe_42,gender,-0.0516
XWE-GloVe_43,gender,0.0656
XWE-GloVe_44,gender,0.0787
XWE-GloVe_45,gender,-0.0995
XWE-GloVe_46,gender,0.0144
XWE-GloVe_47,gender,0.1341
XWE-GloVe_48,gender,0.0823
XWE-GloVe_49,gender,-0.0079
XWE-GloVe_50,gender,0.0524
XWE-GloVe_51,gender,-0.0816
XWE-GloVe_52,gender,0.0044
XWE-GloVe_53,gender,-0.0074
XWE-GloVe_54,gender,0.032
XWE-GloVe_55,gender,0.0056
XWE-GloVe_56,gender,-0.0411
XWE-GloVe_57,gender,0.1122
XWE-GloVe_58,gender,0.0765
XWE-GloVe_59,gender,0.0619
XWE-GloVe_60,gender,0.1702
XWE-GloVe_61,gender,-0.0281
XWE-GloVe_62,gender,-0.0011
XWE-GloVe_63,gender,-0.1167
XWE-GloVe_64,gender,0.1128
XWE-GloVe_65,gender,0.1439
XWE-GloVe_66,gender,-0.0317
XWE-GloVe_67,gender,0.0257
XWE-GloVe_68,gender,0.0319
XWE-GloVe_69,gender,0.0132
