grupo,valor,grupo_1,grupo_2,d_cohen,t_stat,p_value,n1,n2
genero,POS_PROPN,masculino,femenino,-0.1811,-4.64361,3.626562084022764e-06,1795,1139
genero,POS_NOUN,masculino,femenino,0.09625,2.50767,0.012220850861168744,1795,1139
genero,POS_VERB,masculino,femenino,0.14665,3.84683,0.0001228132556621674,1795,1139
genero,POS_ADJ,masculino,femenino,0.07619,2.09445,0.03631224999036254,1795,1139
genero,POS_NUM,masculino,femenino,-0.04276,-1.04091,0.298055154639535,1795,1139
genero,POS_PRON,masculino,femenino,-0.02276,-0.59445,0.5522713170478251,1795,1139
genero,POS_AUX,masculino,femenino,0.04288,1.13218,0.25767051812268793,1795,1139
genero,POS_ADV,masculino,femenino,0.03257,0.82758,0.4080020370910058,1795,1139
genero,POS_X,masculino,femenino,0.06481,1.94064,0.05240015583354042,1795,1139
genero,POS_INTJ,masculino,femenino,-0.00341,-0.088,0.9298836668615222,1795,1139
genero,POS_SYM,masculino,femenino,0.01659,0.46517,0.6418450939452018,1795,1139
edad_grupo,POS_PROPN,joven,mayor,-0.34129,-4.98205,7.79161521041256e-07,324,515
edad_grupo,POS_NOUN,joven,mayor,0.03323,0.48096,0.6306899076368397,324,515
edad_grupo,POS_VERB,joven,mayor,0.355,4.84065,1.6408821749151602e-06,324,515
edad_grupo,POS_ADJ,joven,mayor,0.05787,0.81358,0.41617337131686205,324,515
edad_grupo,POS_NUM,joven,mayor,0.08044,1.07052,0.28484642960920065,324,515
edad_grupo,POS_PRON,joven,mayor,0.16484,2.31958,0.020658389731801854,324,515
edad_grupo,POS_AUX,joven,mayor,0.09066,1.27779,0.2017554044787646,324,515
edad_grupo,POS_ADV,joven,mayor,0.14428,2.01262,0.04455862915988808,324,515
edad_grupo,POS_X,joven,mayor,-0.05597,-0.87139,0.3837886377689207,324,515
edad_grupo,POS_INTJ,joven,mayor,0.01636,0.22833,0.8194566578828334,324,515
edad_grupo,POS_SYM,joven,mayor,0.08579,1.23253,0.21814933276336992,324,515
party,POS_PROPN,VOX,PP,-0.00232,-0.04485,0.9642325805753382,896,556
party,POS_NOUN,VOX,PP,-0.07548,-1.43067,0.15277107297386547,896,556
party,POS_VERB,VOX,PP,-0.04486,-0.83972,0.40122866138919644,896,556
party,POS_ADJ,VOX,PP,0.08987,1.82946,0.06753719852002117,896,556
party,POS_NUM,VOX,PP,-0.01443,-0.2924,0.7700251876914419,896,556
party,POS_PRON,VOX,PP,0.02878,0.54224,0.5877506194156656,896,556
party,POS_AUX,VOX,PP,0.03785,0.72131,0.4708503312257193,896,556
party,POS_ADV,VOX,PP,0.0387,0.74002,0.45942215461897995,896,556
party,POS_X,VOX,PP,-0.06603,-1.16604,0.24387594994201256,896,556
party,POS_INTJ,VOX,PP,0.05909,1.27862,0.20125187408949782,896,556
party,POS_SYM,VOX,PP,-0.12182,-1.95836,0.050569101474823276,896,556
