variable,target,grupo1,grupo2,cohens_d
Xwords,gender,Male,Female,0.013107493726481227
Xunique,gender,Male,Female,0.07668053387208443
Xtwice,gender,Male,Female,0.18312054255072338
Xav_length,gender,Male,Female,-0.00020115945187531214
Xmax_length,gender,Male,Female,0.05817552120733819
Xnumbers,gender,Male,Female,0.0
Xlength_6,gender,Male,Female,-0.03395365715237681
Xlength_3,gender,Male,Female,0.021372466581986337
Xstop,gender,Male,Female,0.13366287119567666
Xcharacter,gender,Male,Female,-0.01524377140568646
Xcapital,gender,Male,Female,0.05467087991114504
Xpunctuation,gender,Male,Female,-0.07328333659728553
Xsentence,gender,Male,Female,-0.04004926823149958
Xsentence_par,gender,Male,Female,-0.04004926823149958
Xword_par,gender,Male,Female,0.013107493726481227
Xchar_par,gender,Male,Female,-0.01524377140568646
Xdet,gender,Male,Female,0.14417925117136912
Xprep,gender,Male,Female,0.10692904904803822
Xsing,gender,Male,Female,0.007489124177437504
Xplural,gender,Male,Female,-0.034820859220573104
Xadv,gender,Male,Female,0.006113251258353085
Xnouns,gender,Male,Female,0.025565406796742844
Xpronouns,gender,Male,Female,-0.006437294368043417
Xconj,gender,Male,Female,0.045181044180029654
Xpast,gender,Male,Female,0.0760950867124844
Xfuture,gender,Male,Female,0.0
tweet_id,gender,Male,Female,-0.1488201568408161
age,gender,Male,Female,0.47845947290953145
Xwords,ideology,izquierda,derecha,-0.10990326582216842
Xunique,ideology,izquierda,derecha,0.01672014729357793
Xtwice,ideology,izquierda,derecha,-0.10354658907585892
Xav_length,ideology,izquierda,derecha,-0.014565384462841453
Xmax_length,ideology,izquierda,derecha,-0.1650593051829134
Xnumbers,ideology,izquierda,derecha,0.0
Xlength_6,ideology,izquierda,derecha,-0.018203261848463555
Xlength_3,ideology,izquierda,derecha,-0.025924668121927587
Xstop,ideology,izquierda,derecha,0.037618298306499286
Xcharacter,ideology,izquierda,derecha,-0.16413016643176476
Xcapital,ideology,izquierda,derecha,0.10741450179958426
Xpunctuation,ideology,izquierda,derecha,-0.026288649382564776
Xsentence,ideology,izquierda,derecha,0.10083625350111222
Xsentence_par,ideology,izquierda,derecha,0.10083625350111222
Xword_par,ideology,izquierda,derecha,-0.10990326582216842
Xchar_par,ideology,izquierda,derecha,-0.16413016643176476
Xdet,ideology,izquierda,derecha,-0.10338316588089642
Xprep,ideology,izquierda,derecha,-0.13670991413554073
Xsing,ideology,izquierda,derecha,0.08335182959132599
Xplural,ideology,izquierda,derecha,-0.05749531998926231
Xadv,ideology,izquierda,derecha,0.03587785626110536
Xnouns,ideology,izquierda,derecha,0.004580738152837587
Xpronouns,ideology,izquierda,derecha,0.18484910511680117
Xconj,ideology,izquierda,derecha,-0.07021173766949369
Xpast,ideology,izquierda,derecha,-0.03066564092406099
Xfuture,ideology,izquierda,derecha,0.0
tweet_id,ideology,izquierda,derecha,0.18080744727447304
age,ideology,izquierda,derecha,-0.279877906030582
